WSJ Perplexity: 479.879923373
HUB Perplexity: 496.377006722

GUESS:	AM: -2.57e+03	LM: -9.27e+01	Total: -2.66e+03	[some, calm, the, return, to, world, oil, markets, after, last, week, 's, stormy, trading]
GOLD:	AM: -2.57e+03	LM: -9.98e+01	Total: -2.67e+03	[some, calm, may, return, to, world, oil, markets, after, last, week, 's, stormy, trading]

GUESS:	AM: -2.76e+03	LM: -1.07e+02	Total: -2.87e+03	[fully, forty, three, percent, felt, that, communication, programs, do, n't, work, or, are, n't, sure, that, they, do]
GOLD:	AM: -2.76e+03	LM: -1.14e+02	Total: -2.87e+03	[fully, forty, three, percent, felt, their, communication, programs, do, n't, work, or, are, n't, sure, that, they, do]

GUESS:	AM: -2.12e+03	LM: -7.42e+01	Total: -2.19e+03	[but, many, oil, analyst, said, market, fundamentals, remain, bearish]
GOLD:	AM: -2.12e+03	LM: -7.63e+01	Total: -2.20e+03	[but, many, oil, analysts, said, market, fundamentals, remain, bearish]

GUESS:	AM: -3.17e+03	LM: -1.35e+02	Total: -3.31e+03	[the, prospect, anti, takeover, legislation, massachusetts, does, n't, appear, to, arouse, any, fears, among, the, perelman, forces]
GOLD:	AM: -3.18e+03	LM: -1.36e+02	Total: -3.31e+03	[the, prospect, of, anti, takeover, legislation, in, massachusetts, does, n't, appear, to, arouse, any, fears, among, the, perelman, forces]

GUESS:	AM: -1.53e+03	LM: -5.48e+01	Total: -1.59e+03	[why, had, an, accounting, standards, of, all, for, the, federal, government]
GOLD:	AM: -1.53e+03	LM: -6.73e+01	Total: -1.60e+03	[why, have, n't, accounting, standards, evolved, for, the, federal, government]

GUESS:	AM: -1.18e+03	LM: -3.54e+01	Total: -1.21e+03	[the, impact, of, the, cheating, was, unclear]
GOLD:	AM: -1.18e+03	LM: -3.54e+01	Total: -1.21e+03	[the, impact, of, the, cheating, was, unclear]

GUESS:	AM: -3.84e+03	LM: -1.38e+02	Total: -3.98e+03	[the, federal, government, is, now, the, largest, enterprise, inherent, in, its, financial, commitments, are, so, vast, that, cash, basis, accounting, no, longer, fits]
GOLD:	AM: -3.84e+03	LM: -1.46e+02	Total: -3.99e+03	[the, federal, government, is, now, the, largest, enterprise, on, earth, and, its, financial, commitments, are, so, vast, that, cash, basis, accounting, no, longer, fits]

GUESS:	AM: -1.18e+03	LM: -6.87e+01	Total: -1.25e+03	[they, 've, earned, the, right, to, bad, mouth, them]
GOLD:	AM: -1.19e+03	LM: -6.98e+01	Total: -1.26e+03	[they, 've, earned, the, right, to, bad, mouth, him]

GUESS:	AM: -1.87e+03	LM: -8.06e+01	Total: -1.95e+03	[at, two, p., m., e., shutdown, infected, computers, to, clear, the, system]
GOLD:	AM: -1.87e+03	LM: -8.39e+01	Total: -1.95e+03	[at, two, p., m., he, shut, down, the, infected, computers, to, clear, the, system]

GUESS:	AM: -1.42e+03	LM: -4.95e+01	Total: -1.47e+03	[it, 's, not, a, problem, said, a, source, close, to, the, company]
GOLD:	AM: -1.42e+03	LM: -4.95e+01	Total: -1.47e+03	[it, 's, not, a, problem, said, a, source, close, to, the, company]

GUESS:	AM: -1.89e+03	LM: -7.73e+01	Total: -1.96e+03	[monday, 's, declines, have, confidence, in, every, investor, big, and, small]
GOLD:	AM: -1.87e+03	LM: -9.12e+01	Total: -1.97e+03	[monday, 's, decline, shook, the, confidence, of, every, investor, big, and, small]

GUESS:	AM: -3.00e+03	LM: -1.45e+02	Total: -3.15e+03	[in, late, spring, nineteen, eighty, six, the, boston, seem, fund, to, bits, of, normal, d., n., a., that, appeared, to, be, part, of, a, gene]
GOLD:	AM: -3.00e+03	LM: -1.48e+02	Total: -3.15e+03	[in, late, spring, nineteen, eighty, six, the, boston, team, found, two, bits, of, normal, d., n., a., that, appeared, to, be, part, of, a, gene]

GUESS:	AM: -1.53e+03	LM: -6.20e+01	Total: -1.59e+03	[if, it, 's, not, a, quality, named, investors, do, n't, want, in]
GOLD:	AM: -1.53e+03	LM: -6.47e+01	Total: -1.60e+03	[if, it, 's, not, a, quality, name, investors, do, n't, want, it]

GUESS:	AM: -2.79e+03	LM: -1.20e+02	Total: -2.91e+03	[it, offers, outstanding, graduate, situation, free, year, to, broaden, their, liberal, arts, background]
GOLD:	AM: -2.80e+03	LM: -1.29e+02	Total: -2.93e+03	[it, offers, outstanding, graduates, a, tuition, free, year, to, broaden, their, liberal, arts, background]

GUESS:	AM: -2.88e+03	LM: -8.60e+01	Total: -2.97e+03	[utility, analysts, however, expect, the, agreement, to, be, completed, without, much, difficulty]
GOLD:	AM: -2.88e+03	LM: -8.60e+01	Total: -2.97e+03	[utility, analysts, however, expect, the, agreement, to, be, completed, without, much, difficulty]

GUESS:	AM: -1.88e+03	LM: -5.00e+01	Total: -1.93e+03	[about, three, point, five, billion, of, securities, are, affected]
GOLD:	AM: -1.88e+03	LM: -5.00e+01	Total: -1.93e+03	[about, three, point, five, billion, of, securities, are, affected]

